Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P17,3,0,1,0,0,9,1,0,0,5,0,4,1,0,0,0,2,4,0,2,3,0,0,3,2,0,1,0,0,2,3,0,0,1,1,1,0,5,1,1,2,1,0,1,0,2,0,0,1,2,1,5,2,4,1,2,0,0,0,5,0,6,0,1,92,4,88,26792.1525101674
P18,1,3,5,0,1,4,0,2,0,0,1,0,6,0,0,0,2,10,3,0,2,0,0,1,0,3,0,1,1,1,1,6,0,2,0,2,1,0,1,1,2,0,0,1,6,0,0,0,3,0,0,0,0,0,0,2,0,2,0,2,0,3,4,4,90,3,87,26788.764055252
P19,0,0,0,3,0,1,0,1,0,3,0,1,2,3,0,3,1,0,2,2,1,4,6,5,2,7,0,1,0,2,0,4,2,2,1,0,1,3,2,0,3,2,0,0,1,0,3,1,1,1,0,0,7,2,1,1,1,1,1,1,1,0,7,0,100,2,98,26788.6576771744
P20,0,0,1,0,2,2,4,0,1,1,0,9,2,1,4,2,2,0,2,2,0,0,0,1,5,4,5,4,1,0,6,0,0,1,5,0,0,1,2,1,1,0,4,1,2,0,0,0,0,3,3,4,0,6,0,1,1,3,1,0,6,0,1,0,108,0,108,26790.366411213403
P21,5,1,2,5,4,1,2,6,0,1,6,2,0,2,1,0,4,1,0,1,1,9,4,0,4,1,4,4,1,1,2,1,1,2,6,0,0,2,2,3,0,4,1,10,10,6,0,0,0,0,0,0,1,0,1,0,0,0,1,5,1,1,2,2,137,9,128,26791.085839748
P22,3,0,1,1,1,0,0,4,2,0,1,1,3,2,1,1,1,3,2,0,5,5,1,0,1,0,0,0,2,4,2,2,0,0,2,2,2,0,8,9,0,2,0,2,2,3,1,0,0,0,10,2,2,1,1,0,1,0,3,6,0,0,0,2,110,1,109,26788.4991102218
P23,5,0,1,3,0,3,0,1,7,0,6,7,0,3,1,0,1,0,0,1,0,6,8,4,0,0,3,0,1,1,6,1,3,0,3,0,0,3,2,0,1,3,0,2,1,0,1,4,4,0,0,0,2,6,1,0,3,0,0,2,3,3,0,1,117,4,113,26791.572533607603
P24,1,0,4,0,0,0,0,0,0,3,0,4,0,0,2,0,0,1,6,1,2,2,0,3,1,0,0,0,2,3,0,0,2,0,1,0,8,0,7,1,0,1,5,0,0,1,1,0,1,1,1,0,1,1,1,10,0,0,1,3,1,5,1,0,89,1,88,26787.3016834294
P25,1,8,0,1,1,0,1,0,3,0,0,2,1,0,1,4,2,3,0,0,0,2,1,0,4,1,1,2,0,3,1,1,0,5,0,2,0,1,0,1,0,3,1,1,0,3,3,2,1,1,0,0,2,2,2,1,2,1,0,2,0,5,0,3,88,1,87,26788.179051877003
P26,2,0,1,0,6,0,0,1,0,3,3,3,4,1,2,2,1,2,0,9,1,1,2,5,0,4,12,2,2,0,1,1,0,8,0,0,1,5,2,0,1,3,1,0,1,2,0,0,0,0,0,0,0,4,0,0,1,3,3,6,1,0,0,0,113,12,101,26788.3048210142
