input_file,output_file,max_num_migrated_tasks,solutions_found,result_id,num_of_processes,num_of_tasks,imbalance_ratio,speedup,num_migrated_tasks,total_load,max_load,avg_load,min_load,max_load_before_rebalancing,avg_load_before_rebalancing,min_load_before_rebalancing,num_binary_variables,num_constraints,num_inequality_constraints,qpu_access_time,run_time,charge_time,problem_id,experiment_id,max_time
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_22.csv,11,25,22,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_23.csv,11,25,23,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_24.csv,11,25,24,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_56_resultid_0.csv,56,1,0,8,64,0.0029062507157415,3.304112987515224,54,2018.44196312,253.03850769,252.30524539,251.9244074825,836.0678196,252.30524539,12.66603468,224,17,17,16054,5001441,5000000,89ab4dbc-130e-454d-9915-815b4dd5366a,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_16tasks.csv,new_outputs/3_varied_num_tasks/tasks_16_k_53_resultid_0.csv,53,1,0,8,128,0.0011883894132913,3.360510558896629,53,4002.07338336,500.853675625,500.25917292,499.987939,1683.1240653999998,500.25917292,25.55708884,280,17,17,32108,5321952,5000000,8f9e460b-09cb-4e5c-acbc-ac631dfa209b,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_16tasks.csv,new_outputs/3_varied_num_tasks/tasks_16_k_112_resultid_0.csv,112,1,0,8,128,0.0004419003328007,3.363018035279071,102,4002.07338336,500.480237615,500.25917292,499.97455179875,1683.1240653999998,500.25917292,25.55708884,280,17,17,32053,5223442,5000000,1360dd05-fb66-45b7-ac1d-aa383742b828,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_32tasks.csv,new_outputs/3_varied_num_tasks/tasks_32_k_43_resultid_0.csv,43,1,0,8,256,0.0334504084875575,3.1514894106584306,43,8130.746889119999,1050.34046173375,1016.3433611399998,992.1087518006248,3310.13684274,1016.34336114,60.80660821999999,336,17,17,32048,5166702,5000000,1ca558ee-31e2-41af-a081-de01c83207be,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_32tasks.csv,new_outputs/3_varied_num_tasks/tasks_32_k_224_resultid_0.csv,224,1,0,8,256,0.0002901167373881,3.255963409307804,211,8130.746889119999,1016.63821936,1016.3433611399998,1015.945881605,3310.13684274,1016.34336114,60.80660821999999,336,17,17,32069,5214539,5000000,45e69672-6919-4ea8-abfd-42b9017f469d,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_64tasks.csv,new_outputs/3_varied_num_tasks/tasks_64_k_87_resultid_0.csv,87,1,0,8,512,0.0258511587932898,3.200983479669299,87,16190.908002879998,2076.1827170837496,2023.86350036,2007.4248149843747,6645.82657816,2023.86350036,120.220232,392,17,17,32050,5351338,5000000,d7ea4de6-0087-42c3-86b7-2c55c74caea2,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_64tasks.csv,new_outputs/3_varied_num_tasks/tasks_64_k_448_resultid_0.csv,448,1,0,8,512,0.0001753691912766,3.2831568473357757,447,16190.90800288,2024.2184236653125,2023.86350036,2023.4070964165624,6645.82657816,2023.86350036,120.220232,392,17,17,16040,5001250,5000000,4380bbde-957d-49d2-968a-b195020dcef1,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_128tasks.csv,new_outputs/3_varied_num_tasks/tasks_128_k_196_resultid_0_experimentid_0.csv,196,1,0,8,1024,0.00033051038792141147,3.2717699469937407,196,32209.662389740002,4027.5385022189066,4026.2077987175003,4025.2935513864068,13177.179431920002,4026.2077987175,243.23101042,448,17,17,32105,5339333,5000000,2e491639-46a7-49a7-96dc-4815446b5bde,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_128tasks.csv,new_outputs/3_varied_num_tasks/tasks_128_k_896_resultid_0_experimentid_0.csv,896,1,0,8,1024,8.756913630836857e-05,3.2725647252816055,855,32209.66238974,4026.5603702570315,4026.2077987175,4025.731276344844,13177.179431920002,4026.2077987175,243.23101042,448,17,17,16042,5002161,5000000,b4708da5-9add-491b-8551-1ef5cf9173f2,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_256tasks.csv,new_outputs/3_varied_num_tasks/tasks_256_k_349_resultid_0_experimentid_0.csv,349,1,0,8,2048,0.00267695685301494,3.2835012222538262,349,63897.721195239996,8008.596579735704,7987.2151494049995,7974.151159799063,26296.236658099995,7987.2151494049995,486.4383221,504,17,17,32095,5267421,5000000,5012b2b8-d7ca-4997-bec1-11a98c1e2b1e,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_256tasks.csv,new_outputs/3_varied_num_tasks/tasks_256_k_1792_resultid_0_experimentid_0.csv,1792,1,0,8,2048,5.9697416637525825e-05,3.292094483816611,1781,63897.721195239996,7987.691965515547,7987.2151494049995,7986.758044543905,26296.236658099995,7987.2151494049995,486.4383221,504,17,17,16030,5002714,5000000,4db64093-5e43-4163-bccb-e2ab487a255d,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_512tasks.csv,new_outputs/3_varied_num_tasks/tasks_512_k_696_resultid_0_experimentid_0.csv,696,1,0,8,4096,0.005015350667223104,3.2695983757130946,696,127472.96156878001,16014.035396454612,15934.120196097501,15900.757808875585,52359.46412086,15934.120196097501,1051.35350226,560,17,17,32099,5319764,5000000,ef01ae0a-54ac-4295-87d6-c8258b35be4e,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_512tasks.csv,new_outputs/3_varied_num_tasks/tasks_512_k_3584_resultid_0_experimentid_0.csv,3584,1,0,8,4096,4.404940807871203e-05,3.285851818280649,3501,127472.96156878001,15934.822084660394,15934.120196097501,15933.597243477929,52359.46412086,15934.120196097501,1051.35350226,560,17,17,32101,5127846,5000000,46be47ab-a6a6-4ae4-8ce6-ab22ab17db9d,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_1024tasks.csv,new_outputs/3_varied_num_tasks/tasks_1024_k_1407_resultid_0_experimentid_0.csv,1407,1,0,8,8192,0.0005489014827929425,3.294287643633074,1407,254825.70872307997,31870.69786655648,31853.213590384996,31845.782401224642,104991.24617575998,31853.213590384996,2044.24471858,616,17,17,16047,5001224,5000000,a9097edb-4b75-4eb0-88ff-17b30cc70bd0,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_1024tasks.csv,new_outputs/3_varied_num_tasks/tasks_1024_k_7168_resultid_0_experimentid_0.csv,7168,1,0,8,8192,1.8583797118139136e-05,3.296034630166549,7049,254825.70872308,31853.805544043924,31853.213590385,31852.794579038433,104991.24617575998,31853.213590384996,2044.24471858,616,17,17,16038,5001455,5000000,bb9fbafa-8e19-4264-98e5-e2a872bbf57b,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_2048tasks.csv,new_outputs/3_varied_num_tasks/tasks_2048_k_2800_resultid_0_experimentid_0.csv,2800,2,0,8,16384,0.00508216240593962,3.2698965773879576,2800,510074.46222303994,64083.34293489747,63759.30777787999,63270.216709374996,209545.9037304,63759.30777788,3940.82293512,672,17,17,32084,5251045,5000000,8474cf1b-46e3-45b0-a3e1-bd11206ab3ee,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_2048tasks.csv,new_outputs/3_varied_num_tasks/tasks_2048_k_2800_resultid_1_experimentid_0.csv,2800,2,1,8,16384,0.00508216240593962,3.2698965773879576,2800,510074.46222303994,64083.34293489747,63759.30777787999,63270.216709374996,209545.9037304,63759.30777788,3940.82293512,672,17,17,32084,5251045,5000000,8474cf1b-46e3-45b0-a3e1-bd11206ab3ee,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_2048tasks.csv,new_outputs/3_varied_num_tasks/tasks_2048_k_14336_resultid_0_experimentid_0.csv,14336,1,0,8,16384,7.140509788435488e-06,3.286491255621889,14248,510074.46222304,63759.76305184129,63759.30777788,63758.84363019947,209545.9037304,63759.30777788,3940.82293512,672,17,17,16042,5001642,5000000,43dda10a-6c27-4bd3-86ec-27ca34a9d8d6,0,5.0
